# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_032124_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc Kp K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_00 K_01 K_02 K_03 K_04 K_05 K_06 K_07 K_08 K_09 K_10 K_11 AL AU AE AO 
# [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] 
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00  3.30000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -9.94000E+00  1.01000E+01  2.00400E+01  8.00000E-02
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  7.90000E-01  4.96300E+01  4.88400E+01  2.52100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  7.40000E-01  4.95400E+01  4.88000E+01  2.51400E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.10000E+00  5.03000E+01  4.91900E+01  2.57000E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  4.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.29000E+00  5.15700E+01  5.02800E+01  2.64300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  5.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  9.40000E-01  5.00100E+01  4.90700E+01  2.54800E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  6.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.50000E-01  5.12700E+01  5.11200E+01  2.57100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  7.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00 -7.50000E-01  5.40900E+01  5.48400E+01  2.66700E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  8.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00 -1.36000E+00  5.49700E+01  5.63300E+01  2.68000E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  9.00000E+00  0.00000E+00  0.00000E+00  6.70000E-01  1.00000E+00  1.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00 -1.80000E+00  5.52800E+01  5.70900E+01  2.67400E+01
