# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_032124_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc dst cpcpn cpcps 
# year month day hour min s ms nT kV kV 
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00 -4.80285E-01  0.00000E+00  0.00000E+00
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.00000E+00  0.00000E+00  0.00000E+00 -6.60869E-01  5.65315E+01  2.86954E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.00000E+00  0.00000E+00  0.00000E+00 -8.30704E-01  5.95656E+01  3.02600E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.00000E+00  0.00000E+00  0.00000E+00 -8.90916E-01  6.17461E+01  3.17601E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  4.00000E+00  0.00000E+00  0.00000E+00 -8.88266E-01  6.35345E+01  3.29510E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  5.00000E+00  0.00000E+00  0.00000E+00 -6.31761E-01  6.44640E+01  3.39350E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  6.00000E+00  0.00000E+00  0.00000E+00 -3.68980E-01  6.54372E+01  3.46337E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  7.00000E+00  0.00000E+00  0.00000E+00 -3.08263E-01  6.65268E+01  3.51143E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  8.00000E+00  0.00000E+00  0.00000E+00 -4.45582E-01  6.71676E+01  3.54671E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  9.00000E+00  0.00000E+00  0.00000E+00 -7.53147E-01  6.72247E+01  3.57284E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.00000E+01  0.00000E+00  0.00000E+00 -6.72244E-01  6.71270E+01  3.59259E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.10000E+01  0.00000E+00  0.00000E+00 -1.98406E-01  6.76677E+01  3.60668E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.20000E+01  0.00000E+00  0.00000E+00  3.06162E-01  6.84463E+01  3.63566E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.30000E+01  0.00000E+00  0.00000E+00  5.62512E-01  6.91277E+01  3.66803E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  1.40000E+01  0.00000E+00  0.00000E+00  9.72682E-01  6.93898E+01  3.71075E+01
