# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_040924_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc dst cpcpn cpcps 
# year month day hour min s ms nT kV kV 
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.11048E+00  0.00000E+00  0.00000E+00
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  1.00000E+00  0.00000E+00  0.00000E+00  1.99417E+00  7.00182E+01  9.26788E+01
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  2.00000E+00  0.00000E+00  0.00000E+00  3.07482E+00  7.92187E+01  1.03526E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  3.00000E+00  0.00000E+00  0.00000E+00  4.04199E+00  8.38460E+01  1.10794E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  4.00000E+00  0.00000E+00  0.00000E+00  5.14913E+00  8.68069E+01  1.14198E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  5.00000E+00  0.00000E+00  0.00000E+00  6.74179E+00  8.85755E+01  1.17785E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  6.00000E+00  0.00000E+00  0.00000E+00  7.73415E+00  8.90583E+01  1.17609E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  7.00000E+00  0.00000E+00  0.00000E+00  8.34563E+00  8.99080E+01  1.17756E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  8.00000E+00  0.00000E+00  0.00000E+00  8.79354E+00  9.07274E+01  1.17180E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  9.00000E+00  0.00000E+00  0.00000E+00  9.19803E+00  9.04885E+01  1.16500E+02
  2.02200E+03  5.00000E+00  2.70000E+01  1.10000E+01  1.00000E+01  0.00000E+00  0.00000E+00  9.07276E+00  9.03737E+01  1.15947E+02
