Date_UTC,SME
2022-05-27 12:00:00,128
2022-05-27 12:01:00,121
2022-05-27 12:02:00,122
2022-05-27 12:03:00,122
2022-05-27 12:04:00,117
2022-05-27 12:05:00,111
2022-05-27 12:06:00,113
2022-05-27 12:07:00,122
2022-05-27 12:08:00,125
2022-05-27 12:09:00,116
2022-05-27 12:10:00,116
2022-05-27 12:11:00,116
2022-05-27 12:12:00,106
2022-05-27 12:13:00,102
2022-05-27 12:14:00,120
2022-05-27 12:15:00,219
2022-05-27 12:16:00,243
2022-05-27 12:17:00,260
2022-05-27 12:18:00,283
2022-05-27 12:19:00,308
2022-05-27 12:20:00,307
2022-05-27 12:21:00,308
2022-05-27 12:22:00,309
2022-05-27 12:23:00,315
2022-05-27 12:24:00,335
2022-05-27 12:25:00,374
2022-05-27 12:26:00,405
2022-05-27 12:27:00,432
2022-05-27 12:28:00,450
2022-05-27 12:29:00,452
2022-05-27 12:30:00,471
2022-05-27 12:31:00,505
2022-05-27 12:32:00,503
2022-05-27 12:33:00,503
2022-05-27 12:34:00,495
2022-05-27 12:35:00,483
2022-05-27 12:36:00,471
2022-05-27 12:37:00,489
2022-05-27 12:38:00,494
2022-05-27 12:39:00,499
2022-05-27 12:40:00,508
2022-05-27 12:41:00,526
2022-05-27 12:42:00,532
2022-05-27 12:43:00,538
2022-05-27 12:44:00,537
2022-05-27 12:45:00,533
2022-05-27 12:46:00,516
2022-05-27 12:47:00,549
2022-05-27 12:48:00,567
2022-05-27 12:49:00,578
2022-05-27 12:50:00,578
2022-05-27 12:51:00,596
2022-05-27 12:52:00,659
2022-05-27 12:53:00,720
2022-05-27 12:54:00,742
2022-05-27 12:55:00,781
2022-05-27 12:56:00,791
2022-05-27 12:57:00,818
2022-05-27 12:58:00,835
2022-05-27 12:59:00,841
2022-05-27 13:00:00,890
2022-05-27 13:01:00,887
2022-05-27 13:02:00,882
2022-05-27 13:03:00,867
2022-05-27 13:04:00,833
2022-05-27 13:05:00,773
2022-05-27 13:06:00,762
2022-05-27 13:07:00,761
2022-05-27 13:08:00,769
2022-05-27 13:09:00,727
2022-05-27 13:10:00,722
2022-05-27 13:11:00,767
2022-05-27 13:12:00,768
2022-05-27 13:13:00,731
2022-05-27 13:14:00,700
2022-05-27 13:15:00,708
2022-05-27 13:16:00,689
2022-05-27 13:17:00,701
2022-05-27 13:18:00,712
2022-05-27 13:19:00,712
2022-05-27 13:20:00,706
2022-05-27 13:21:00,723
2022-05-27 13:22:00,748
2022-05-27 13:23:00,772
2022-05-27 13:24:00,799
2022-05-27 13:25:00,845
2022-05-27 13:26:00,853
2022-05-27 13:27:00,872
2022-05-27 13:28:00,919
2022-05-27 13:29:00,944
2022-05-27 13:30:00,919
2022-05-27 13:31:00,941
2022-05-27 13:32:00,942
2022-05-27 13:33:00,949
2022-05-27 13:34:00,959
2022-05-27 13:35:00,973
2022-05-27 13:36:00,996
2022-05-27 13:37:00,1020
2022-05-27 13:38:00,1055
2022-05-27 13:39:00,1085
2022-05-27 13:40:00,1079
2022-05-27 13:41:00,1104
2022-05-27 13:42:00,1114
2022-05-27 13:43:00,1086
2022-05-27 13:44:00,1064
2022-05-27 13:45:00,1080
2022-05-27 13:46:00,1062
2022-05-27 13:47:00,1049
2022-05-27 13:48:00,1032
2022-05-27 13:49:00,1016
2022-05-27 13:50:00,1017
2022-05-27 13:51:00,993
2022-05-27 13:52:00,983
2022-05-27 13:53:00,965
2022-05-27 13:54:00,914
2022-05-27 13:55:00,898
2022-05-27 13:56:00,879
2022-05-27 13:57:00,963
2022-05-27 13:58:00,1063
2022-05-27 13:59:00,1101
2022-05-27 14:00:00,1045
2022-05-27 14:01:00,979
2022-05-27 14:02:00,964
2022-05-27 14:03:00,902
2022-05-27 14:04:00,905
2022-05-27 14:05:00,933
2022-05-27 14:06:00,977
2022-05-27 14:07:00,993
2022-05-27 14:08:00,932
2022-05-27 14:09:00,880
2022-05-27 14:10:00,852
2022-05-27 14:11:00,845
2022-05-27 14:12:00,817
2022-05-27 14:13:00,794
2022-05-27 14:14:00,768
2022-05-27 14:15:00,746
2022-05-27 14:16:00,749
2022-05-27 14:17:00,766
2022-05-27 14:18:00,801
2022-05-27 14:19:00,803
2022-05-27 14:20:00,781
2022-05-27 14:21:00,779
2022-05-27 14:22:00,782
2022-05-27 14:23:00,798
2022-05-27 14:24:00,773
2022-05-27 14:25:00,743
2022-05-27 14:26:00,766
2022-05-27 14:27:00,818
2022-05-27 14:28:00,847
2022-05-27 14:29:00,866
2022-05-27 14:30:00,874
2022-05-27 14:31:00,870
2022-05-27 14:32:00,907
2022-05-27 14:33:00,910
2022-05-27 14:34:00,910
2022-05-27 14:35:00,917
2022-05-27 14:36:00,929
2022-05-27 14:37:00,961
2022-05-27 14:38:00,970
2022-05-27 14:39:00,933
2022-05-27 14:40:00,931
